L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
102,1693,17,2,34,54219,0,0,N,O,1997-08-09,1997-07-28,1997-08-26,TAKE BACK RETURN,SHIP,eposits cajole across
102,1824,68,3,25,43146,0,0,N,O,1997-07-31,1997-07-24,1997-08-17,NONE,RAIL,bits. ironic accoun
102,612,6,4,15,22689,0,0,N,O,1997-06-02,1997-07-13,1997-06-04,DELIVER IN PERSON,SHIP,final packages. carefully even excu
103,1947,80,1,6,11094,0,0,N,O,1996-10-11,1996-07-25,1996-10-28,NONE,FOB,cajole. carefully ex
103,105,32,2,37,37189,0,0,N,O,1996-09-17,1996-07-27,1996-09-20,TAKE BACK RETURN,MAIL,ies. quickly ironic requests use blithely
103,285,86,3,23,27261,0,0,N,O,1996-09-11,1996-09-18,1996-09-26,NONE,FOB,ironic accou
103,291,46,4,32,38121,0,0,N,O,1996-07-30,1996-08-06,1996-08-04,NONE,RAIL,"kages doze. special, regular deposit"
133,1035,71,1,27,25273,0,0,N,O,1997-12-21,1998-02-23,1997-12-27,TAKE BACK RETURN,MAIL,yly even gifts after the sl
133,1763,90,2,12,19977,0,0,N,O,1997-12-02,1998-01-15,1997-12-29,DELIVER IN PERSON,REG AIR,ts cajole fluffily quickly i
133,1174,83,3,29,31180,0,0,N,O,1998-02-28,1998-01-30,1998-03-09,DELIVER IN PERSON,RAIL," the carefully regular theodoli"
133,899,99,4,11,19799,0,0,N,O,1998-03-21,1998-01-15,1998-04-04,DELIVER IN PERSON,REG AIR,e quickly across the dolphins
135,1083,84,1,47,46252,0,0,N,O,1996-02-18,1996-01-01,1996-02-25,COLLECT COD,RAIL,ctions wake slyly abo
135,1984,17,2,21,39606,0,0,N,O,1996-02-11,1996-01-12,1996-02-13,DELIVER IN PERSON,SHIP," deposits believe. furiously regular p"
135,1576,97,3,33,48760,0,0,N,O,1996-01-03,1995-11-21,1996-02-01,TAKE BACK RETURN,MAIL,ptotes boost slowly care
135,671,3,4,34,53437,0,0,N,O,1996-01-12,1996-01-19,1996-02-05,NONE,TRUCK,counts doze against the blithely ironi
135,1363,40,5,20,25287,0,0,N,O,1996-01-25,1995-11-20,1996-02-09,NONE,MAIL,theodolites. quickly p
160,148,1,1,36,37733,0,0,N,O,1997-03-11,1997-03-11,1997-03-20,COLLECT COD,MAIL,"old, ironic deposits are quickly abov"
160,864,98,2,22,38827,0,0,N,O,1997-02-18,1997-03-05,1997-03-05,COLLECT COD,RAIL,ncies about the request
160,201,56,3,34,37441,0,0,N,O,1997-01-31,1997-03-13,1997-02-14,NONE,FOB,st sleep even gifts. dependencies along
163,1676,100,1,43,67840,0,0,N,O,1997-09-19,1997-11-19,1997-10-03,COLLECT COD,REG AIR,"al, bold dependencies wake. iron"
163,1208,9,2,13,14420,0,0,N,O,1997-11-11,1997-10-18,1997-12-07,DELIVER IN PERSON,TRUCK,inal requests. even pinto beans hag
163,369,98,3,27,34273,0,0,N,O,1997-12-26,1997-11-28,1998-01-05,COLLECT COD,REG AIR,ously express dependen
163,1927,72,4,5,9145,0,0,N,O,1997-11-17,1997-10-09,1997-12-05,DELIVER IN PERSON,TRUCK," must belie"
163,1261,99,5,12,13947,0,0,N,O,1997-12-18,1997-10-26,1997-12-22,COLLECT COD,TRUCK,"ly blithe accounts cajole "
163,1909,98,6,20,36218,0,0,N,O,1997-09-27,1997-11-15,1997-10-07,TAKE BACK RETURN,FOB,tructions integrate b
192,971,40,1,23,43055,0,0,N,O,1998-02-05,1998-02-06,1998-03-07,TAKE BACK RETURN,AIR,ly pending theodolites haggle quickly fluf
192,1614,38,2,20,30312,0,0,N,O,1998-03-13,1998-02-02,1998-03-31,TAKE BACK RETURN,REG AIR,tes. carefu
192,1103,76,3,15,15062,0,0,N,O,1998-01-30,1998-02-10,1998-02-23,TAKE BACK RETURN,TRUCK,he ironic requests haggle about
192,1964,97,4,2,3732,0,0,N,O,1998-03-06,1998-02-03,1998-03-24,COLLECT COD,SHIP,s. dependencies nag furiously alongside
192,830,97,5,25,43271,0,0,N,O,1998-02-15,1998-01-11,1998-03-17,COLLECT COD,TRUCK,. carefully regular
192,1411,51,6,45,59058,0,0,N,O,1998-03-11,1998-01-09,1998-04-03,NONE,MAIL,equests. ideas sleep idea
198,561,62,1,33,48231,0,0,N,O,1998-01-05,1998-03-20,1998-01-10,TAKE BACK RETURN,TRUCK,carefully caref
198,153,80,2,20,21063,0,0,N,O,1998-01-15,1998-03-31,1998-01-25,DELIVER IN PERSON,FOB,carefully final escapades a
198,1481,60,3,15,20737,0,0,N,O,1998-04-12,1998-02-26,1998-04-15,COLLECT COD,MAIL,es. quickly pending deposits s
198,104,31,4,35,35144,0,0,N,O,1998-02-27,1998-03-23,1998-03-14,TAKE BACK RETURN,RAIL,ests nod quickly furiously sly pinto be
198,1020,21,5,33,30394,0,0,N,O,1998-03-22,1998-03-12,1998-04-14,DELIVER IN PERSON,SHIP,ending foxes acr
199,1321,36,1,50,61116,0,0,N,O,1996-06-12,1996-06-03,1996-07-04,DELIVER IN PERSON,MAIL,essly regular ideas boost sly
199,1340,41,2,30,37240,0,0,N,O,1996-03-27,1996-05-29,1996-04-14,NONE,TRUCK,"ilent packages doze quickly. thinly "
227,1742,69,2,24,39450,0,0,N,O,1996-02-03,1995-12-24,1996-02-12,COLLECT COD,SHIP,uses across the blithe dependencies cajol
257,1463,64,1,7,9551,0,0,N,O,1998-06-18,1998-05-15,1998-06-27,COLLECT COD,FOB,ackages sleep bold realms. f
260,1559,60,1,50,73028,0,0,N,O,1997-03-24,1997-02-09,1997-04-20,TAKE BACK RETURN,REG AIR,"c deposits "
260,1828,29,2,26,44975,0,0,N,O,1996-12-12,1997-02-06,1996-12-15,NONE,TRUCK,ld theodolites boost fl
260,413,1,3,27,35462,0,0,N,O,1997-03-23,1997-02-15,1997-04-22,TAKE BACK RETURN,RAIL,ions according to the
260,54,5,4,29,27667,0,0,N,O,1997-03-15,1997-01-14,1997-04-13,NONE,MAIL,fluffily even asymptotes. express wa
260,953,22,5,44,81574,0,0,N,O,1997-03-26,1997-02-03,1997-04-19,DELIVER IN PERSON,MAIL,above the blithely ironic instr
262,1912,13,1,39,70742,0,0,N,O,1996-01-15,1996-02-18,1996-01-28,COLLECT COD,RAIL,"usual, regular requests"
262,601,95,2,33,49553,0,0,N,O,1996-03-10,1996-01-31,1996-03-27,TAKE BACK RETURN,AIR,atelets sleep furiously. requests cajole. b
262,587,78,3,35,52065,0,0,N,O,1996-03-12,1996-02-14,1996-04-11,COLLECT COD,MAIL,lites cajole along the pending packag
288,507,98,1,31,43633,0,0,N,O,1997-03-17,1997-04-28,1997-04-06,TAKE BACK RETURN,AIR,instructions wa
288,1164,1,2,49,52193,0,0,N,O,1997-04-19,1997-05-19,1997-05-18,TAKE BACK RETURN,TRUCK,ic excuses sleep always spe
288,989,90,3,36,68039,0,0,N,O,1997-02-22,1997-05-07,1997-03-07,TAKE BACK RETURN,TRUCK,yly pending excu
288,785,86,4,19,32030,0,0,N,O,1997-03-14,1997-04-04,1997-03-26,NONE,MAIL,deposits. blithely quick courts ar
288,1619,2,5,31,47139,0,0,N,O,1997-05-29,1997-04-24,1997-06-20,TAKE BACK RETURN,RAIL,ns. fluffily
289,1733,60,1,25,40868,0,0,N,O,1997-03-18,1997-05-05,1997-04-15,DELIVER IN PERSON,FOB,out the quickly bold theodol
289,1118,27,2,6,6115,0,0,N,O,1997-02-18,1997-05-08,1997-03-19,DELIVER IN PERSON,SHIP,d packages use fluffily furiously
289,170,23,3,44,47087,0,0,N,O,1997-06-05,1997-04-20,1997-07-02,COLLECT COD,MAIL,"ly ironic foxes. asymptotes "
289,395,24,4,48,62179,0,0,N,O,1997-03-14,1997-03-30,1997-03-24,DELIVER IN PERSON,RAIL,sits cajole. bold pinto beans x-ray fl
289,463,93,5,13,17725,0,0,N,O,1997-06-08,1997-04-06,1997-06-18,TAKE BACK RETURN,REG AIR,ts. quickly bold deposits alongside
320,45,21,1,30,28351,0,0,N,O,1997-12-04,1998-01-21,1997-12-13,NONE,RAIL," ironic, final accounts wake quick de"
320,1922,67,2,13,23711,0,0,N,O,1997-12-16,1997-12-26,1997-12-17,TAKE BACK RETURN,AIR,he furiously regular pinto beans. car
354,495,25,1,14,19537,0,0,N,O,1996-04-12,1996-06-03,1996-05-08,NONE,SHIP,quickly regular grouches will eat. careful
354,1939,72,2,24,44182,0,0,N,O,1996-05-08,1996-05-17,1996-06-07,DELIVER IN PERSON,AIR,"y silent requests. regular, even accounts"
354,582,83,3,50,74129,0,0,N,O,1996-03-21,1996-05-20,1996-04-04,COLLECT COD,TRUCK,to beans s
354,1067,73,4,7,6776,0,0,N,O,1996-05-07,1996-04-18,1996-05-24,NONE,MAIL,ously idly ironic accounts-- quickl
354,306,7,5,18,21713,0,0,N,O,1996-03-31,1996-05-13,1996-04-27,DELIVER IN PERSON,RAIL," about the carefully unusual "
354,611,43,6,36,54418,0,0,N,O,1996-03-19,1996-05-29,1996-03-30,NONE,AIR,onic requests thrash bold g
354,47,98,7,14,13259,0,0,N,O,1996-07-06,1996-06-08,1996-07-10,TAKE BACK RETURN,MAIL,"t thinly above the ironic, "
357,1132,33,1,26,26861,0,0,N,O,1996-12-28,1996-11-26,1997-01-13,NONE,FOB," carefully pending accounts use a"
357,1859,3,2,36,63391,0,0,N,O,1996-12-28,1996-11-13,1997-01-24,DELIVER IN PERSON,AIR,"d the carefully even requests. "
357,1649,32,3,32,49620,0,0,N,O,1997-01-28,1996-12-29,1997-02-14,NONE,MAIL,y above the carefully final accounts
385,1665,7,1,7,10967,0,0,N,O,1996-05-23,1996-05-09,1996-06-06,DELIVER IN PERSON,REG AIR," special asymptote"
385,531,92,2,46,65850,0,0,N,O,1996-03-29,1996-05-17,1996-04-18,NONE,REG AIR,lthily ironic f
387,1367,44,1,1,1268,0,0,N,O,1997-05-06,1997-04-23,1997-05-10,NONE,SHIP," pinto beans wake furiously carefu"
387,1528,29,2,42,60040,0,0,N,O,1997-05-25,1997-02-25,1997-05-29,DELIVER IN PERSON,RAIL,lithely final theodolites.
387,964,33,3,40,74598,0,0,N,O,1997-03-08,1997-04-18,1997-03-31,COLLECT COD,TRUCK," quickly ironic platelets are slyly. fluff"
387,560,61,4,19,27751,0,0,N,O,1997-03-14,1997-04-21,1997-04-04,NONE,REG AIR,gular dependencies
387,1484,24,5,32,44335,0,0,N,O,1997-05-02,1997-04-11,1997-05-11,DELIVER IN PERSON,TRUCK,"gle. silent, fur"
390,1066,2,1,10,9671,0,0,N,O,1998-05-26,1998-07-06,1998-06-23,TAKE BACK RETURN,SHIP," requests. final accounts x-ray beside the"
390,1234,46,2,17,19299,0,0,N,O,1998-06-07,1998-06-14,1998-07-07,COLLECT COD,SHIP,"ending, pending pinto beans wake slyl"
390,1833,20,3,46,79802,0,0,N,O,1998-06-06,1998-05-20,1998-06-14,DELIVER IN PERSON,SHIP,"cial excuses. bold, pending packages"
390,1420,21,4,42,55500,0,0,N,O,1998-06-06,1998-06-22,1998-07-05,COLLECT COD,SHIP,"counts nag across the sly, sil"
390,1277,15,5,13,15318,0,0,N,O,1998-07-08,1998-05-10,1998-07-18,DELIVER IN PERSON,SHIP,"sleep carefully idle packages. blithely "
390,1247,22,6,11,12631,0,0,N,O,1998-05-05,1998-05-15,1998-06-01,DELIVER IN PERSON,SHIP,"according to the foxes are furiously "
390,850,50,7,24,42020,0,0,N,O,1998-04-18,1998-05-19,1998-04-28,TAKE BACK RETURN,AIR,y. enticingly final depos
419,1527,8,1,33,47141,0,0,N,O,1996-11-06,1996-12-25,1996-11-20,TAKE BACK RETURN,TRUCK,y above the bli
419,642,5,2,32,49364,0,0,N,O,1996-12-04,1996-12-04,1996-12-24,COLLECT COD,SHIP,blithely regular requests. special pinto
419,705,38,3,15,24086,0,0,N,O,1996-12-17,1996-11-28,1996-12-19,TAKE BACK RETURN,REG AIR," sleep final, regular theodolites. fluffi"
419,88,64,4,15,14821,0,0,N,O,1997-01-09,1996-12-22,1997-01-25,COLLECT COD,FOB,"of the careful, thin theodolites. quickly s"
419,1485,64,5,17,23570,0,0,N,O,1997-01-13,1996-12-20,1997-02-01,COLLECT COD,REG AIR,lar dependencies: carefully regu
420,1611,35,2,22,33277,0,0,N,O,1996-01-25,1995-12-16,1996-02-03,TAKE BACK RETURN,AIR,ly against the blithely re
420,476,35,3,45,61941,0,0,N,O,1996-01-14,1996-01-01,1996-01-26,COLLECT COD,FOB," final accounts. furiously express forges"
420,748,49,4,12,19785,0,0,N,O,1996-02-05,1996-01-03,1996-02-12,TAKE BACK RETURN,REG AIR,"c instructions are "
422,1519,60,1,25,35513,0,0,N,O,1997-07-01,1997-08-17,1997-07-09,DELIVER IN PERSON,SHIP,carefully bold theodolit
422,1707,50,2,10,16087,0,0,N,O,1997-06-15,1997-08-04,1997-07-08,TAKE BACK RETURN,AIR,he furiously ironic theodolite
422,1760,87,3,46,76441,0,0,N,O,1997-06-21,1997-07-14,1997-06-27,DELIVER IN PERSON,RAIL," ideas. qu"
422,1617,41,4,25,37965,0,0,N,O,1997-08-24,1997-07-09,1997-09-22,NONE,FOB,ep along the furiousl
423,1319,96,1,27,32948,0,0,N,O,1996-08-20,1996-08-01,1996-08-23,TAKE BACK RETURN,SHIP,ccounts. blithely regular pack
451,1296,71,1,36,43102,0,0,N,O,1998-06-18,1998-08-14,1998-06-20,TAKE BACK RETURN,AIR,"rges can haggle carefully ironic, dogged "
451,321,78,2,42,51295,0,0,N,O,1998-08-01,1998-08-05,1998-08-30,DELIVER IN PERSON,TRUCK,express excuses. blithely ironic pin
451,862,63,3,1,1763,0,0,N,O,1998-07-13,1998-07-03,1998-08-04,DELIVER IN PERSON,AIR," carefully ironic packages solve furiously "
451,766,63,4,28,46669,0,0,N,O,1998-06-16,1998-07-09,1998-06-17,DELIVER IN PERSON,SHIP," theodolites. even cou"
452,1147,48,1,2,2096,0,0,N,O,1997-12-26,1998-01-03,1998-01-12,COLLECT COD,FOB,y express instru
453,1980,69,1,45,84689,0,0,N,O,1997-06-30,1997-08-20,1997-07-19,COLLECT COD,REG AIR,ifts wake carefully.
453,1752,79,2,38,62843,0,0,N,O,1997-06-30,1997-07-08,1997-07-16,DELIVER IN PERSON,REG AIR," furiously f"
453,132,85,3,38,39221,0,0,N,O,1997-08-10,1997-07-24,1997-09-07,NONE,SHIP,sts cajole. furiously un
453,958,59,4,45,83653,0,0,N,O,1997-09-18,1997-06-29,1997-10-14,TAKE BACK RETURN,AIR,ironic foxes. slyly pending depos
453,258,86,5,32,37064,0,0,N,O,1997-07-15,1997-06-27,1997-07-18,NONE,REG AIR,s. fluffily bold packages cajole. unu
453,944,79,6,28,51658,0,0,N,O,1997-08-16,1997-08-12,1997-08-27,NONE,MAIL,final dependencies. slyly special pl
454,1176,85,1,24,25852,0,0,N,O,1996-04-26,1996-03-23,1996-05-20,NONE,TRUCK,le. deposits after the ideas nag unusual pa
455,1565,86,1,42,61596,0,0,N,O,1997-01-26,1997-01-10,1997-02-22,DELIVER IN PERSON,REG AIR,around the quickly blit
455,273,74,2,44,51624,0,0,N,O,1997-01-17,1997-02-22,1997-02-12,TAKE BACK RETURN,TRUCK," accounts sleep slyly ironic asymptote"
455,484,43,3,45,62302,0,0,N,O,1996-12-20,1997-01-31,1997-01-07,TAKE BACK RETURN,SHIP,thrash ironically regular packages. qui
455,1701,28,4,11,17630,0,0,N,O,1997-03-15,1997-02-14,1997-03-26,DELIVER IN PERSON,MAIL,g deposits against the slyly idle foxes u
482,1374,75,1,32,40812,0,0,N,O,1996-05-22,1996-05-14,1996-05-29,NONE,SHIP,"usual deposits affix against "
482,1214,26,2,1,1115,0,0,N,O,1996-05-29,1996-05-20,1996-05-31,COLLECT COD,AIR,es. quickly ironic escapades sleep furious
482,612,75,3,31,46891,0,0,N,O,1996-06-01,1996-05-06,1996-06-17,NONE,MAIL," blithe pin"
482,1959,60,4,8,14888,0,0,N,O,1996-04-19,1996-05-05,1996-04-21,NONE,TRUCK,"tructions near the final, regular ideas de"
482,383,40,5,46,59035,0,0,N,O,1996-07-19,1996-06-05,1996-08-10,NONE,MAIL,"furiously thin realms. final, fina"
482,787,88,6,19,32068,0,0,N,O,1996-03-27,1996-04-25,1996-04-15,NONE,FOB,ts hinder carefully silent requests
484,302,59,1,49,58913,0,0,N,O,1997-03-06,1997-02-28,1997-03-23,COLLECT COD,TRUCK,ven accounts
484,320,5,2,45,54914,0,0,N,O,1997-04-09,1997-03-20,1997-04-19,DELIVER IN PERSON,TRUCK,usly final excuses boost slyly blithe
484,1834,78,3,50,86792,0,0,N,O,1997-01-24,1997-03-27,1997-02-22,DELIVER IN PERSON,MAIL,"uctions wake. final, silent requests haggle"
484,1649,50,4,22,34114,0,0,N,O,1997-04-29,1997-03-26,1997-05-17,TAKE BACK RETURN,SHIP,es are pending instructions. furiously unu
484,764,29,5,48,79908,0,0,N,O,1997-03-05,1997-02-08,1997-03-22,TAKE BACK RETURN,MAIL,"l, bold packages? even mult"
484,969,4,6,10,18700,0,0,N,O,1997-04-06,1997-02-14,1997-04-16,COLLECT COD,FOB,x fluffily carefully regular
485,1496,97,1,50,69875,0,0,N,O,1997-03-28,1997-05-26,1997-04-18,TAKE BACK RETURN,MAIL,iously quick excuses. carefully final f
485,280,35,2,40,47211,0,0,N,O,1997-04-29,1997-05-08,1997-04-30,TAKE BACK RETURN,TRUCK,al escapades
485,1369,84,3,22,27948,0,0,N,O,1997-04-06,1997-04-27,1997-05-01,DELIVER IN PERSON,TRUCK,"refully final notornis haggle according "
486,755,56,1,36,59607,0,0,N,O,1996-06-25,1996-05-06,1996-07-07,COLLECT COD,AIR,deposits around the quickly regular packa
486,671,72,2,40,62867,0,0,N,O,1996-05-21,1996-06-06,1996-06-07,COLLECT COD,SHIP,ts nag quickly among the slyl
486,1360,99,3,26,32795,0,0,N,O,1996-03-16,1996-05-25,1996-03-31,NONE,RAIL,"forges along the "
486,719,84,4,38,61549,0,0,N,O,1996-05-07,1996-04-26,1996-05-26,TAKE BACK RETURN,TRUCK," blithely final pinto "
486,281,63,5,3,3544,0,0,N,O,1996-07-07,1996-04-20,1996-07-23,DELIVER IN PERSON,RAIL,ccounts ha
486,466,96,6,46,62857,0,0,N,O,1996-04-18,1996-05-02,1996-04-20,COLLECT COD,AIR,theodolites eat carefully furious
514,788,21,1,21,35464,0,0,N,O,1996-06-09,1996-05-15,1996-07-07,DELIVER IN PERSON,RAIL,s sleep quickly blithely
514,1175,12,2,34,36590,0,0,N,O,1996-04-14,1996-06-03,1996-04-23,COLLECT COD,REG AIR,"ily even patterns. bold, silent instruc"
514,129,56,3,6,6175,0,0,N,O,1996-05-30,1996-06-04,1996-06-28,COLLECT COD,SHIP,as haggle blithely; quickly s
514,1154,55,4,43,45371,0,0,N,O,1996-06-07,1996-05-14,1996-07-01,TAKE BACK RETURN,FOB,"thely regular "
516,250,5,1,11,12653,0,0,N,O,1998-05-02,1998-05-23,1998-05-12,DELIVER IN PERSON,FOB,ongside of the blithely final reque
517,446,47,1,28,37700,0,0,N,O,1997-04-30,1997-05-18,1997-05-17,COLLECT COD,MAIL," requests. special, fi"
517,1554,95,2,15,21833,0,0,N,O,1997-04-09,1997-06-26,1997-05-01,NONE,TRUCK," slyly. express requests ar"
517,410,40,3,9,11794,0,0,N,O,1997-05-03,1997-06-16,1997-05-24,COLLECT COD,SHIP," slyly stealthily express instructions. "
