Review_Title,Review_Text,Verified_Buyer,Review_Date,Review_Location,Review_Upvotes,Review_Downvotes,Product,Brand,Scrape_Date
Favorite Dermalogica product!,"I use this in the shower around twice weekly, usually whilst waiting on my conditioner to soak in and/or exfoliating my body. I have super sensitive skin, prone to blotches and and oily T zone. This product does amazing things for my skin. It hydrates, sloughs off dead skin cells, causes zero irritation and leaves my skin glowing like I've had a really deep facial. Couldn't live without it. Makeup goes on so much smoother afterwards also!",No,3 months ago,Undisclosed,3,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product. Always feel gently,Great product. Always feel gently exfoliated. Recommend!,No,3 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Best exfoliant,I love all dermalogica products but one of my top faves is the multivitamin thermofoliant. This exfoliant leaves my skin looking renewed and rejuvenated. I love to follow up with the multivitamin power recovery masque. It seriously feels and looks like I just had a professional facial everytime.,No,3 months ago,Undisclosed,1,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Best Thermafoliant Scrub,"My face always looks so smooth, subtle and refreshingly clean after this thermafoliant scrub",No,3 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Recommendâ€¦.yes!,Keeps pores clean helping prevent breakouts.,No,3 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Multivitamin thermafoliant,Great product and your skin feels like silk after use.,No,3 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product,Used this product for over 5 years and like it alot. The scub works welland skin feels like silk afer use. .,No,3 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My Favorite Exfoliant!,I've been using the thermafoliant for 2 years and love it! It heats up when you apply. It leaves my skin feeling so soft and smooth.,No,3 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this!,Love this!,No,3 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love it!,You can feel the product start to work the minute it hits your skin.,No,3 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Amazing,I love the warm and tingling sensation of it. It really gets deep into my pores and leaves my skin feeling so smooth and refreshed.,No,3 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Feels warm when it goes,"Feels warm when it goes on, exfoliates wonderfully and even your fingertips get exfoliated!",No,4 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Thermfoliant love,The initial warmth is quite surprising. It leaves my face feeling silky smooth. I love this product!,No,4 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My new baby skin,I just love this peel gel. I used it a few times but already see the results. My skin is brighter and smoother now. I like it more on a dry face but works on a wet face well too. Must have,No,4 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this product! I couldn't,Love this product! I couldn't get it once when I needed it & was told it had been discontinued :cry: Thankfully it was back when I placed my last order,No,4 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Polish your skin,Skin feels like new after using this product - dead cells and debris removed.,No,4 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love the warming sensation when,Love the warming sensation when you put it on and love the feel of my skin after using it. So glad they brought it back.,No,4 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Really great exfoliator! My skin,Really great exfoliator! My skin glow's after using it!,No,4 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Best stuff ever and it smells good too,I love this product!. It makes my skin feel so smooth,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Favorite item,"I love, love, it! This feels like it changes the texture of my skin. Thanks!",No,5 months ago,Undisclosed,1,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Noticeable difference.,I could tel a noticeable difference in my Skins texture in less than a week.,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Only been using for three,Only been using for three weeks and definitely see a difference in my skin more brighter complexion and my dark spots are fading.,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My skin has improved since,"My skin has improved since I started using this exfoliant, totally recommend, it's also great for oily skin. Great buy thanks Dermalogica",No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love it,Love it,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My favorite product in the,My favorite product in the line!,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I love this product! The,"I love this product! The Thermafoliant is a great scrub to help exfoliate and to help me eliminate the outbreak of pimples in the areas around the nose and in the crease between my mouth and chin where blackheads and clogged pores tend to gather for me. I an over 55 and this product is still mild enough not to irritate my skin, which can be sensitive and reactive sometimes. I use several dermalogica products in my day and night skin routine and this is one of my go to favorites.",No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I do really like this,I do really like this exfoliant. The only thing that I am not a fan of is the smell.,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love the warming sensation and,Love the warming sensation and the gentle exfoliating leaves my skin soft. Buy on repeat.,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
To me this is a,To me this is a treat for my skin. It makes my skin just glow and feel so soft and smooth. I love the sensation it gives as you massage it on. The best stuff ever!,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Best exfoliant I used as,Best exfoliant I used as it is gentle,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I love how this Thermafoliant,"I love how this Thermafoliant combines physical and chemical exfoliants,This is my first time use and will be in my beauty regimen from now on,the sensation of freshness it feel immediately,my skin looks and feels dramatically improved.",No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
LOVE IT!,"This product is exceptional. I have older skin, dry, flaky and bumpy. This heated exfoliant makes all the difference! Smoother, softer and less prone to dryness. Love it!",No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
A lovely product !!,An absolute must !!,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I use it three times,"I use it three times a week, and the benefits are visible. It's a self-care practice that I look forward to.",No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
nice product,love taht ut ahs vitamins,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great scrub,This exfoliant is working great for me so far. I like that it combines chemical and physical aspects. My skin does feel smoother.,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Feels nice on the skin,Love the warmth,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Excellent product,Highly effective !,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"Feels wonderful, smells nice.","Feels wonderful, smells nice.",No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Amazing exfoliant,I'm on to my third tube of this exfoliant. I simply love the warmth as you apply it on your face. I have been using this once a week and the texture of my skin has improved dramatically.,No,6 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
yes i would like the product again,i use the product once a week,No,6 months ago,Verified Buyer,1,3,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"53 years of age, and","53 years of age, and my skin is amazing. I use this product once a week and my skin is soft and supple.",Yes,7 months ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
The BEST exfoliator!,"One of my all time favorite skincare products. I've used it every morning on my face and neck since it launched years ago. Keeps my skin radiant, make-up goes on smoothly.",Yes,7 months ago,Undisclosed,2,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I love this product. It,I love this product. It warms up on the skin and is just creamy as it exfoliates.,Yes,7 months ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Face feels extra clean and,Face feels extra clean and smooth. Love the heating effect.,Yes,8 months ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My favorite exfoliate. You can,My favorite exfoliate. You can really feel the thermal effect.,Yes,8 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
multivitamin thermafoliant,I am very happy with this product! Makes my skin glow!,Yes,8 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This thermafoliant makes my skin,This thermafoliant makes my skin soft and glowy,Yes,8 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I was worried it was,"I was worried it was going to be too rough on my sensitive skin but it's complete opposite of that, meanwhile still doing it job",Yes,8 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I love how clean my skin feels after using this!,"I use this twice a week, and it makes my skin feel so clean. My boyfriend shaves his head regularly, and also uses this exfoliant to cleanse his scalp. We both love the warming sensation too.",No,8 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Warming,"I wanted the Multivitamin Power Recovery Masque; but after asking in the store and talking to 2 different people (which took them about 1/2 hr. to ""check,"") was told to order this Multivitamin Thermafoliant instead as they no longer HAVE the other masque. I realized once I got home and checked on-line, this was not the case; but since I had this one coming to me via mail, decided to try it. Dermalogica is a good line; and although this mask did warm my face, considering the hefty price, it's certainly no better than the Biore 6 individually contained masks in foil packets which I've used in the past. Prefer brick-and-mortar stores soooo much more; but anytime I order at the store, it always seems to be such a hassle.",Yes,8 months ago,PA,0,7,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product,Great exfoliator! I like how it gets warm also.,No,9 months ago,Undisclosed,2,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
great skin polisher,i use this product twice weekly in conjunction with the recovery mask. You can see visable results the very time you use it. Your skin just glows!,Yes,9 months ago,"colleyville, Tx",1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
So so smooth,"Beware the slight warming sensation and tingling. Also, make sure to let it sit for a minute. But holy moly, it makes your skin feel like a new born babies booty!",No,9 months ago,TheBigCity,3,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"Just love your product, never","Just love your product, never disappointed always better than advertised.",Yes,9 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Tough yet Gentle,"The best exfoliant we've found! Both my husband and I use it. Tough enough to get rid of the stubborn dead skin, yet gentle enough to not turn your skin raw. Pleasant scent,",Yes,9 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
The best exfoliant I have ever used,It is the best exfoliant I have ever used. My skin loves it and the heating action is what makes it unique and great. I will use this for a very long time! Nothing else compares.,Yes,9 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Treat Yourself!,Warming goodness!,Yes,9 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Clean and fresh,It's like having a cleansing mini-facial. My skin feels so clean and fresh after using the Thermafoliant. It's a quick â€œpick me upâ€ for my skin.,Yes,9 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My favorite product! My face,My favorite product! My face is as smooth as it's ever been!,Yes,9 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This cleanser is amazing- I,This cleanser is amazing- I love the warming effect and the gentle exfoliating action!!! Works great and a little goes a Long way!,Yes,9 months ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Burns off skin,Used once and skin had allergic reactions(?) Turned red next day and got Extremely dryâ€¦.,Yes,10 months ago,Undisclosed,2,3,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Best Exfoliant,This is the best I've found!,Yes,10 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Good to Go...,Does a very good job of exfoliating the skin ;),No,10 months ago,California,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Favorite Scrub,"This scrub leaves my skin so soft. After I use my face cream and primer, my make up looks great I love the warming component. It's like a mini facial.",No,10 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great wet - better dry,"When I feel like my skin needs a really good scrub, I use this after a shower when my skin is dry. I really feel like it sloughs off all of that softened skin so well!",No,10 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love it!,Love it!,Yes,11 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Please stop sending me promotions,Please stop sending me promotions,Yes,11 months ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This scrub helped me a,This scrub helped me a lot to clean my skin with an excess of sebum.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Best face scrub,The best face scrub for sensitive skin.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I'd like to cancel my,I'd like to cancel my recurring shipment,Yes,1 year ago,Undisclosed,0,9,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great!! Will purchase again,Great!! Will purchase again,Yes,1 year ago,Undisclosed,0,2,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
LOVE,this is the only face mask i use anymore because it's THAT good. i've used it for around 3 years now and it's so good!,No,1 year ago,oregon,2,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
great product,great product,Yes,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My favourite manual exfoliant. Obsessed,"My favourite manual exfoliant. Obsessed with the sugary feel and warmth of this product! My sister and I now use it religiously, I'm on my third tube. I use once every few days and I go easy on the more delicate areas of my face as it's extremely effective and can dry out the skin if used in excess.",No,1 year ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This scrub feels really good.,This scrub feels really good. It's really a Goldilocks exfoliant - not too harsh and not too gentle. Great warmth to it. A little goes a long way.,Yes,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Super cool surprise awaits you!,"This stuff is GREAT!!! The first time I used it, I was so surprised by the warming effect but it felt SO GOOD on my face! I use this product 1-2x a week and feel as though I can see a difference. Who knows, but the experience of using it is such a treat! It feels amazing, smells good, and leaves my skin polished and so soft!",No,1 year ago,Out west...,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I've used this for 4,I've used this for 4 or 5 years. It does a wonderful job of preventing blackheads in my older skin.,Yes,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this! It doesn't warm,Love this! It doesn't warm up as much as I thought it would but that's ok. It's very gentle and makes my skin super soft.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Favourite product! Exfoliates like no,Favourite product! Exfoliates like no other product I have ever tried.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Exfoliate,It was suggested to apply on dry skin so I did and I do feel a warming sensation and it leave s my skin feeling soft. I didn't smell any type of scent. And the form was thick but not to thick easy to smooth out in the face,Yes,1 year ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Favorite,Always been a favorite of mine. It works great.,Yes,1 year ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
45 with 25 Year Old Skin,I make sure I NEVER run out of this exfoliant. It literally makes my skin glow. I'm a 45 year old woman with no wrinkles. I've used the Dermalogica brand for five years now and I love it.,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I have used it for years,I love this product..it is an excellent exfoliant ...leaves your skin like silk and removes dead skin in pores. Skin looks smoother and pores less noticeable because it gets rid of the buildup.,Yes,1 year ago,FL,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product. A staple in this household!,I love this product and make my boyfriend use it on Friday nights when he comes to stay the weekend. He works in chemicals during the week and so i want him to get those pores clean! He now loves it too!,Yes,1 year ago,North Carolina,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love it,"Extremely exfoliating and works wonders to sludge off dead skin cells. But, it does smell a little funky. The heat is nice with it though.",No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product. Skin feels very,Great product. Skin feels very smooth after using it.,Yes,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
It scrubs nicely. My skin,It scrubs nicely. My skin feels silky after,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Soft and smooth,Love this exfoliant and love the warming feature. It's delicate enough for my sensitive skin and leaves it feeling like silk.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Luv it.,Luv this! Not harsh but you can tell the exfoliant is doing its job. Would recommend.,Yes,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I love this exfoliant. I,I love this exfoliant. I don't get much warming from it but my skin always feels soft and great afterwards,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Multivitamin Thermafoliant,"I'm not sure how I lived without this before. I use it once a week and amazed at the buildup that's removed leaving my skin ready to absorb cream and make up evenly while using less product. It has definitely provided my skin to regenerate improving the texture, smoothness and suppleness for a brighter appearance.",Yes,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Skin brighter and pores are,"Skin brighter and pores are shrinked after using. But I use it with the wet skin, otherwise it feels too strong peeling effect for me.",No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Favorite exfoliant,Favorite chemical/physical exfoliant I have ever used. I see results the moment I get out of the shower,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This is a product that,This is a product that cleans my face well. It has a gritty feel which I like.,Yes,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
😊,Feels toasty and scrubby,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Exfoliant,Love the feeling of warmth and leaves my skin feeling so smooth!,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this !,"This product is amazing! I noticed a difference after 1-2 applications, and now my skin feels amazing and looks so much better.",No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this!,Love this!,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My skin is so soft,My skin is so soft and smooth. The way it feels leaving a facial.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Highly recommended,It is one of Dermalogica's best products.,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Wow... I love it!!,"I absolutely love this product. I ""thought"" that I was exfoliating before but this product is a completely different experience! I use Dermalogica's daily exfoliant and loved it but the warming aspect of this product is just... everything.",No,1 year ago,Undisclosed,1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
The form is just right,The form is just right for leaving your skin feeling soft and fresh.,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great for my hyper-pigmentation and,Great for my hyper-pigmentation and helps refine my skins texture and pores!,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Smells great,Smells great,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"After the first time use,","After the first time use, my skin is already feels smooth and silky, will keep to do it at lease twice per week.",No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"extraordinary mask, evens out tone,","extraordinary mask, evens out tone, makes the skin sparkling",No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My favorite product!,My favorite! This is my favorite Dermalogica product. The heating action seems to help deep clean my skin. Pores are more refined. My skin feels soft and clean. I love it!,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
super effective exfoliant,I use this scrub alternating with chemical exfoliants (like the lactic acid cleanser/glycolic peels). I love the warming aspect - so fun to use. I really notice a muddiness in my skin texture when I forget to use this...,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great! Makes my skin feel,Great! Makes my skin feel deliciously soft and smooth.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Fantastic,Makes my skin feel so smooth after each use!,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
thermafoliant,love the thermafoliant.,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
A must have,The best! Skin is smooth and glows,No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
My Favorite Exfoliant,Another Dermalogica product added to the regime. Perfect amount of exfoliation and I love the warming sensation. It always leaves my skin smooth and hydrated!,No,1 year ago,Abq,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This is my all time,"This is my all time favorite cleanser. My skin feels so smooth and freshly clean after using. I wish I could use everyday, but I use approximately 3 times a week, and have so many compliments on my skin",No,1 year ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great thermal exfoliation,Love the smell and warm exfoliation. My skin feels polished and clean afterwards.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
One of my favorites of,One of my favorites of Demalogica. Makes my skin so smooth and my face soaks up the serum and moisturizer after using. I always have a nice glow for days after using.,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love!!,Love this product leaves my face feeling soft and renewed one of my favorites !,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Love this,What I love about this product is the texture of how it feels it almost feels like a pleasant refreshing orange sent body scrub for your face if he helps remove all the dead skin cells and refresh my service especially flying as much as I do it's important to get rid of all the extra junk that's on your face with a mask all day and i only need a very small Pinkys size amount out so this lasted me over a year I just recently had to purchase a new one !,No,1 year ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
A+++,This is one of the best exfoliants I've ever used! I've only used it twice so far & can already see improvements in my skins texture. It leaves my skin so soft & smooth after usage. I love the warm tingling feeling you get when you first apply & the tiny beads feel so relaxing when I'm massaging my face. A little goes a long way so this should last a while. Well worth the money. I will never be without this product!,No,2 years ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
The best,Awesome product I recommend,Yes,2 years ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Makes skin glow and prepares,Makes skin glow and prepares for moisturizer or other anti-aging products beautifully.,Yes,2 years ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
It made my skin extremely,"It made my skin extremely happy! I'm lighter , brighter and Mose even skinned. I'm super happy with this product. A little does go along way so remember that! But, overrall , 10 out of 10.",Yes,2 years ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Awesome,Awesome,Yes,2 years ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This product gives me great,This product gives me great results with getting rid of my skins impurities. When it is applied it gets off a warm and gentle scrub. It is wonderful.,Yes,2 years ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Like a warm hug,"Love using this 3x a week. Using it on a dry face or damp face, either or is fine for my combination but more oily skin type. The second you put it in your hands and apply you can feel the warmth in such a unique way and does not burn. Definitely will be repurchasing. I give it 5 stars.",Yes,2 years ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product!!,I will definitely purchase this product again. I like the way it melts on your skin and it's not super rough on your skin. I absolutely love the way it makes my skin feel.,Yes,2 years ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Skin feels so fresh!,I use this product along side the daily microfoliant and its great! Does a great job really cleaning out my pours.,No,2 years ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Smoothing,I get monthly facials and in between I use this to keep my skin fresh and smooth.,Yes,2 years ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
